"participant","group","trial_no","time","recalled","word","recall_acc","recall_rt","study_pos","test_pos","image","item_type","id"
"576144e5eaf3f80007481fce","older",4,2,"SERIES","SERIES",TRUE,2.632,1,2,"coin","match",1140
"576144e5eaf3f80007481fce","older",4,3,"IDEAS","IDEAS",TRUE,2.816,3,3,"sun","new-new",1140
"576144e5eaf3f80007481fce","older",4,4,"GLASS","GLASS",TRUE,2.5,0,4,"dart","old-new",1140
"576144e5eaf3f80007481fce","older",5,1,"BOYS","BOYS",TRUE,3.898,2,1,"razor","new-new",1141
"576144e5eaf3f80007481fce","older",5,2,"COPS","COPS",TRUE,2.883,1,2,"tractor","new-new",1141
"576144e5eaf3f80007481fce","older",5,3,"GODS","GODS",TRUE,3,3,3,"bench","new-new",1141
"576144e5eaf3f80007481fce","older",5,4,"ROOF","ROOF",TRUE,2.099,0,4,"megaphone","new-new",1141
"576144e5eaf3f80007481fce","older",6,1,"DOZEN","DOZEN",TRUE,4.583,3,1,"balcony","new-new",1142
"576144e5eaf3f80007481fce","older",6,2,"FOOD","FOOD",TRUE,2.966,1,2,"rug","new-new",1142
"576144e5eaf3f80007481fce","older",6,3,"HOTEL","HOTEL",TRUE,3.467,2,3,"skateboard","new-new",1142
"576144e5eaf3f80007481fce","older",6,4,"STYLE","STYLE",TRUE,2.783,0,4,"aeroplane","new-new",1142
"576144e5eaf3f80007481fce","older",7,1,"AREA","AREA",TRUE,2.998,1,1,"helmet","old-new",1143
"576144e5eaf3f80007481fce","older",7,2,"WRITER","WRITER",TRUE,3,3,2,"dice","mis-match",1143
"576144e5eaf3f80007481fce","older",7,3,"CANDY","CANDY",TRUE,3.05,0,3,"pawn","match",1143
"576144e5eaf3f80007481fce","older",7,4,"NATION","NATION",TRUE,3.266,2,4,"tyre","new-new",1143
"576144e5eaf3f80007481fce","older",8,1,"MONTH","MONTH",TRUE,3.365,2,1,"backpack","new-new",1144
"576144e5eaf3f80007481fce","older",8,2,"FEET","FEET",TRUE,2.599,1,2,"cart","new-new",1144
"576144e5eaf3f80007481fce","older",8,3,"PENNY","PENNY",TRUE,2.901,3,3,"tray","new-new",1144
"576144e5eaf3f80007481fce","older",8,4,"SPIRIT","SPIRIT",TRUE,4.284,0,4,"sunflower","new-new",1144
"576144e5eaf3f80007481fce","older",9,1,"BODY","BODY",TRUE,3.964,2,1,"gorilla","old-new",1145
"576144e5eaf3f80007481fce","older",9,2,"LIFE","LIFE",TRUE,3.233,1,2,"carrot","new-new",1145
"576144e5eaf3f80007481fce","older",9,3,"JUNGLE","JUNGLE",TRUE,3.482,0,3,"salt","mis-match",1145
"576144e5eaf3f80007481fce","older",9,4,"HONEY","HONEY",TRUE,2.717,3,4,"suitcase","match",1145
"576144e5eaf3f80007481fce","older",10,1,"MOMENT","MOMENT",TRUE,3.699,3,1,"mushroom","mis-match",1146
"576144e5eaf3f80007481fce","older",10,2,"KIND","KIND",TRUE,3.616,0,2,"monkey","old-new",1146
"576144e5eaf3f80007481fce","older",10,3,"FLESH","FLESH",TRUE,3.483,1,3,"pear","new-new",1146
"576144e5eaf3f80007481fce","older",10,4,"FAMILY","FAMILY",TRUE,4.05,2,4,"scissors","match",1146
"576144e5eaf3f80007481fce","older",11,1,"WOMEN","WOMEN",TRUE,3.682,1,1,"stamp","new-new",1147
"576144e5eaf3f80007481fce","older",11,2,"AGENT","AGENT",TRUE,4.716,0,2,"watch","new-new",1147
"576144e5eaf3f80007481fce","older",11,3,"CASINO","CASINO",TRUE,3.416,3,3,"pepper","new-new",1147
"576144e5eaf3f80007481fce","older",11,4,"YEARD","YARD",FALSE,2.399,2,4,"wheelbarrow","new-new",1147
"576144e5eaf3f80007481fce","older",12,1,"DIRT","DIRT",TRUE,3.632,3,1,"hanger","new-new",1148
"576144e5eaf3f80007481fce","older",12,2,"SAKE","SAKE",TRUE,2.632,1,2,"anchor","new-new",1148
"576144e5eaf3f80007481fce","older",12,3,"PRINCE","PRINCE",TRUE,3.149,2,3,"cap","new-new",1148
"576144e5eaf3f80007481fce","older",12,4,"RECORD","RECORD",TRUE,2.883,0,4,"frame","new-new",1148
"576144e5eaf3f80007481fce","older",13,1,"LOTS","LOTS",TRUE,2.448,3,1,"cathedral","mis-match",1149
"576144e5eaf3f80007481fce","older",13,2,"PHOTO","PHOTO",TRUE,3.632,1,2,"candle","old-new",1149
"576144e5eaf3f80007481fce","older",13,3,"SYSTEM","SYSTEM",TRUE,3.149,2,3,"ring","match",1149
"576144e5eaf3f80007481fce","older",13,4,"HOUSE","HOUSE",TRUE,2.949,0,4,"mirror","new-new",1149
"576144e5eaf3f80007481fce","older",14,1,"CLOCK","CLOCK",TRUE,2.848,3,1,"pencil","mis-match",1150
"576144e5eaf3f80007481fce","older",14,2,"CARS","CARS",TRUE,3.5,1,2,"microphone","old-new",1150
"576144e5eaf3f80007481fce","older",14,3,"NIGHT","NIGHT",TRUE,4.933,0,3,"goose","new-new",1150
"576144e5eaf3f80007481fce","older",14,4,"TOILET","TOILET",TRUE,3.6,2,4,"diamond","match",1150
"576144e5eaf3f80007481fce","older",15,1,"BATH","BATH",TRUE,2.966,0,1,"taxi","new-new",1151
"576144e5eaf3f80007481fce","older",15,2,"FRIEND","FRIEND",TRUE,3.083,2,2,"planet","new-new",1151
"576144e5eaf3f80007481fce","older",15,3,"SPEECH","SPEECH",TRUE,2.983,3,3,"spoon","new-new",1151
"576144e5eaf3f80007481fce","older",15,4,"TEAR","TEAR",TRUE,2.45,1,4,"calendar","new-new",1151
"576144e5eaf3f80007481fce","older",16,1,"YEAR","ARTIST",FALSE,2.999,3,1,"wheel","match",1152
"576144e5eaf3f80007481fce","older",16,2,"FLIGHT","FLIGHT",TRUE,2.967,1,2,"shovel","new-new",1152
"576144e5eaf3f80007481fce","older",16,3,"DANGER","DANGER",TRUE,3.283,2,3,"cherry","old-new",1152
"576144e5eaf3f80007481fce","older",16,4,"ARTIST","YEAR",FALSE,6.433,0,4,"kettle","mis-match",1152
"57c0b4480a58f600011a2264","younger",1,1,"PENNY","PENNY",TRUE,2.881,3,1,"microphone","old-new",209
"57c0b4480a58f600011a2264","younger",1,2,"MILE","MILE",TRUE,2.398,0,2,"anchor","mis-match",209
"57c0b4480a58f600011a2264","younger",1,3,"HONEY","HONEY",TRUE,3.132,1,3,"cherry","new-new",209
"57c0b4480a58f600011a2264","younger",1,4,"COPS","COPS",TRUE,1.633,2,4,"wheel","match",209
"57c0b4480a58f600011a2264","younger",2,1,"STYLE","STYLE",TRUE,3.232,0,1,"boot","new-new",210
"57c0b4480a58f600011a2264","younger",2,2,"SAKE","SAKE",TRUE,2.049,1,2,"aeroplane","old-new",210
"57c0b4480a58f600011a2264","younger",2,3,"YARD","YARD",TRUE,2.349,2,3,"tyre","match",210
"57c0b4480a58f600011a2264","younger",2,4,"SALE","SALE",TRUE,1.866,3,4,"map","mis-match",210
"57c0b4480a58f600011a2264","younger",3,1,"DUDE","DUDE",TRUE,2.215,2,1,"pepper","match",211
"57c0b4480a58f600011a2264","younger",3,2,"FLESH","FLESH",TRUE,4.116,1,2,"balcony","new-new",211
"57c0b4480a58f600011a2264","younger",3,3,"PLENTY","PLENTY",TRUE,3.066,0,3,"monkey","mis-match",211
"57c0b4480a58f600011a2264","younger",3,4,"PILLS","PILLS",TRUE,1.765,3,4,"hanger","old-new",211
"57c0b4480a58f600011a2264","younger",4,1,"SHOTS","SHOTS",TRUE,7.447,1,1,"bolt","old-new",212
"57c0b4480a58f600011a2264","younger",4,2,"KIND","KIND",TRUE,2.399,2,2,"dice","match",212
"57c0b4480a58f600011a2264","younger",4,3,"APPLE","APPLE",TRUE,3.466,0,3,"kettle","new-new",212
"57c0b4480a58f600011a2264","younger",4,4,"DANGER","DANGER",TRUE,2.216,3,4,"megaphone","mis-match",212
