"participant","trial_no","group","time","recalled","word","recall_acc","recall_rt","study_pos","test_pos","image","item_type","id"
"555b4c66fdf99b19786e3fa8",12,"younger",3,"RIVER","RIVER",TRUE,1.499035,2,3,"rug","match",620
"555b4c66fdf99b19786e3fa8",12,"younger",4,"MOMENT","MOMENT",TRUE,1.54932,3,4,"stamp","new-new",620
"555b4c66fdf99b19786e3fa8",13,"younger",1,"THING","THING",TRUE,1.516205,3,1,"hanger","old-new",621
"555b4c66fdf99b19786e3fa8",13,"younger",2,"SERIES","SERIES",TRUE,1.74949,0,2,"helmet","match",621
"555b4c66fdf99b19786e3fa8",13,"younger",3,"CARS","CARS",TRUE,1.483185,2,3,"candle","new-new",621
"555b4c66fdf99b19786e3fa8",13,"younger",4,"FAMILY","FAMILY",TRUE,1.583115,1,4,"diamond","mis-match",621
"555b4c66fdf99b19786e3fa8",14,"younger",1,"COPS","COPS",TRUE,1.24734,0,1,"suitcase","mis-match",622
"555b4c66fdf99b19786e3fa8",14,"younger",2,"ROOF","ROOF",TRUE,1.665865,2,2,"planet","new-new",622
"555b4c66fdf99b19786e3fa8",14,"younger",3,"YARD","YARD",TRUE,1.31633,1,3,"stool","old-new",622
"555b4c66fdf99b19786e3fa8",14,"younger",4,"LOTS","LOTS",TRUE,1.216235,3,4,"bolt","match",622
"555b4c66fdf99b19786e3fa8",15,"younger",1,"ESTATE","ESTATE",TRUE,2.496925,2,1,"salt","new-new",623
"555b4c66fdf99b19786e3fa8",15,"younger",2,"PILLS","PILLS",TRUE,1.796635,1,2,"ring","new-new",623
"555b4c66fdf99b19786e3fa8",15,"younger",3,"DEMON","DEMON",TRUE,1.698135,3,3,"mirror","new-new",623
"555b4c66fdf99b19786e3fa8",15,"younger",4,"GLASS","GLASS",TRUE,2.13485,0,4,"aeroplane","new-new",623
"555b4c66fdf99b19786e3fa8",16,"younger",1,"SPEECH","SPEECH",TRUE,3.348535,3,1,"motorbike","new-new",624
"555b4c66fdf99b19786e3fa8",16,"younger",2,"DANGE","DANGER",FALSE,1.747035,1,2,"tray","new-new",624
"555b4c66fdf99b19786e3fa8",16,"younger",3,"TEAR","TEAR",TRUE,1.91623,2,3,"shovel","new-new",624
"555b4c66fdf99b19786e3fa8",16,"younger",4,"MILLER","MILLER",TRUE,1.633185,0,4,"balcony","new-new",624
"563f8474cbd4c6000fdc928b",1,"older",1,"POLICE","MILE",FALSE,9.99735,3,1,"taxi","new-new",1425
"563f8474cbd4c6000fdc928b",1,"older",2,"CARROT","YARD",FALSE,9.99211,0,2,"monkey","match",1425
