"participant","trial_no","group","time","recalled","word","recall_acc","recall_rt","study_pos","test_pos","image","item_type","id","distraction","interval","prev_assoc","ltm_intru","resp_type","tran_dist"
"56f55bc0736c79000c223b3d",4,"younger",4,"?","ARTIST",FALSE,2.280565,4,4,"gorilla","old-new",68,"no","2 s","HONEY",0,"omission",NA
"56f55bc0736c79000c223b3d",5,"younger",1,"WRITER","DEATH",FALSE,3.84576,3,1,"suitcase","new-new",69,"no","2 s",NA,NA,"within",1
"56f55bc0736c79000c223b3d",5,"younger",2,"NIGHT","NIGHT",TRUE,2.53025,4,2,"cap","new-new",69,"no","2 s",NA,NA,"correct",NA
"56f55bc0736c79000c223b3d",5,"younger",3,"ROOF","ROOF",TRUE,1.664855,1,3,"planet","new-new",69,"no","2 s",NA,NA,"correct",NA
"56f55bc0736c79000c223b3d",5,"younger",4,"WRITER","WRITER",TRUE,1.630255,2,4,"watch","new-new",69,"no","2 s",NA,NA,"correct",NA
"56f55bc0736c79000c223b3d",6,"younger",1,"ESTATE","SALE",FALSE,5.576055,1,1,"kettle","new-new",70,"no","2 s",NA,NA,"within",-2
"56f55bc0736c79000c223b3d",6,"younger",2,"HOUSE","HOUSE",TRUE,4.84509,4,2,"goose","new-new",70,"no","2 s",NA,NA,"correct",NA
"56f55bc0736c79000c223b3d",6,"younger",3,"ESTATE","SYSTEM",FALSE,4.311915,2,3,"peg","new-new",70,"no","2 s",NA,NA,"within",-1
"56f55bc0736c79000c223b3d",6,"younger",4,"ESTATE","ESTATE",TRUE,2.13071,3,4,"dart","new-new",70,"no","2 s",NA,NA,"correct",NA
"56f55bc0736c79000c223b3d",7,"younger",1,"LIFE","LIFE",TRUE,1.71384,4,1,"razor","old-new",71,"no","2 s","BEAUTY",0,"correct",NA
"56f55bc0736c79000c223b3d",7,"younger",2,"CLIENT","CLIENT",TRUE,1.215045,3,2,"carrot","mis-match",71,"no","2 s","ADVICE",0,"correct",NA
"56f55bc0736c79000c223b3d",7,"younger",3,"LEADER","LEADER",TRUE,1.515,1,3,"helmet","match",71,"no","2 s",NA,NA,"correct",NA
"56f55bc0736c79000c223b3d",7,"younger",4,"SHOTS","SHOTS",TRUE,2.364755,2,4,"scissors","new-new",71,"no","2 s",NA,NA,"correct",NA
"56f55bc0736c79000c223b3d",8,"younger",1,"AREA","PENNY",FALSE,3.793825,4,1,"shovel","match",72,"no","2 s",NA,NA,"within",3
"56f55bc0736c79000c223b3d",8,"younger",2,"AREA","AREA",TRUE,2.812595,1,2,"bench","old-new",72,"no","2 s","DUDE",0,"correct",NA
"56f55bc0736c79000c223b3d",8,"younger",3,"WEAPON","RIVER",FALSE,2.428345,2,3,"backpack","mis-match",72,"no","2 s","CLIENT",0,"within",-1
