"Words","Images","Cos","File"
"data","boxer",-0.0132702746259371,"PICTURE_21"
"days","boxer",0.0458747656544259,"PICTURE_21"
"dean","boxer",-0.0283535678685683,"PICTURE_21"
"death","boxer",-0.0228655592825519,"PICTURE_21"
"daddy","boxer",-0.073896774722737,"PICTURE_21"
"county","boxer",-0.0290156483224734,"PICTURE_21"
"couch","boxer",-0.054500128391614,"PICTURE_21"
"coffee","boxer",-0.106709028199071,"PICTURE_21"
"cole","boxer",0.0783907314396946,"PICTURE_21"
"cliff","boxer",-0.00578941755166108,"PICTURE_21"
"chest","boxer",0.0069279916872924,"PICTURE_21"
"chick","boxer",-0.0783963533460043,"PICTURE_21"
"child","boxer",-0.0269474728589934,"PICTURE_21"
"choice","boxer",0.0374164625553403,"PICTURE_21"
"cell","boxer",0.00755103806248342,"PICTURE_21"
"card","boxer",0.0284300560938346,"PICTURE_21"
"castle","boxer",-0.0408583613157837,"PICTURE_21"
"cage","boxer",0.0895338123384039,"PICTURE_21"
"cancer","boxer",-0.0110452343359842,"PICTURE_21"
"buddy","boxer",0.00470065328941575,"PICTURE_21"
"bull","boxer",0.0655783014159396,"PICTURE_21"
"booth","boxer",-0.000754632776267511,"PICTURE_21"
"breath","boxer",0.0776001116264454,"PICTURE_21"
"blood","boxer",-0.0574994139749472,"PICTURE_21"
"boat","boxer",-0.0365319427519339,"PICTURE_21"
"bell","boxer",0.0649327081694965,"PICTURE_21"
"bird","boxer",-0.110461598976628,"PICTURE_21"
"birth","boxer",-0.012970022468742,"PICTURE_21"
"beach","boxer",-0.0225095201276866,"PICTURE_21"
"beast","boxer",0.15613790033814,"PICTURE_21"
"ball","boxer",-0.0299542570703351,"PICTURE_21"
"anyone","boxer",-0.00451954949662886,"PICTURE_21"
"area","boxer",-0.0249527740175429,"PICTURE_21"
"angel","boxer",0.0399731531661436,"PICTURE_21"
"animal","boxer",0.122376367808255,"PICTURE_21"
"action","boxer",0.0628746851476649,"PICTURE_21"
"advice","boxer",0.0358434098889307,"PICTURE_21"
"affair","boxer",0.00620916379756804,"PICTURE_21"
"zone","leopard",0.0687122071119699,"PICTURE_25"
"wood","leopard",-0.0522420642690064,"PICTURE_25"
"word","leopard",0.00458087946982209,"PICTURE_25"
"world","leopard",0.0322807779372396,"PICTURE_25"
"writer","leopard",-0.0661628638548662,"PICTURE_25"
"yard","leopard",-0.00540673677780739,"PICTURE_25"
"witch","leopard",0.216998800241795,"PICTURE_25"
"wallet","leopard",-0.0636927899588267,"PICTURE_25"
"walls","leopard",-0.0184006634582606,"PICTURE_25"
"week","leopard",0.0840116496949185,"PICTURE_25"
"victim","leopard",0.0208494096189294,"PICTURE_25"
"vision","leopard",0.0343813153037493,"PICTURE_25"
"valley","leopard",-0.0429118974903767,"PICTURE_25"
"unit","leopard",-0.0678356722122358,"PICTURE_25"
"union","leopard",-0.0157298937087585,"PICTURE_25"
"turkey","leopard",0.00538045062514483,"PICTURE_25"
"tree","leopard",0.143212569586676,"PICTURE_25"
"truth","leopard",-0.0994224517383761,"PICTURE_25"
"town","leopard",-0.0721552929223241,"PICTURE_25"
"threat","leopard",-0.0703179690411053,"PICTURE_25"
"teeth","leopard",-0.0251396818721691,"PICTURE_25"
"theory","leopard",-0.0111027063955085,"PICTURE_25"
"thief","leopard",-0.0476267147365076,"PICTURE_25"
"talent","leopard",0.0930627091958943,"PICTURE_25"
"story","leopard",-0.0427326205205574,"PICTURE_25"
"style","leopard",-0.00616536326487502,"PICTURE_25"
"squad","leopard",-0.0294476797808541,"PICTURE_25"
"sister","leopard",0.0191283932927352,"PICTURE_25"
"season","leopard",-0.0509437946029636,"PICTURE_25"
"safety","leopard",-0.052636434598952,"PICTURE_25"
"sake","leopard",-0.0748730800988628,"PICTURE_25"
"robin","leopard",0.100997169293648,"PICTURE_25"
"roof","leopard",0.0050810234493131,"PICTURE_25"
"radar","leopard",0.0511646489012219,"PICTURE_25"
"punk","leopard",0.0667703299928214,"PICTURE_25"
"potter","leopard",0.069490060780095,"PICTURE_25"
